airfoil 
    Dummy header 
    1.0      Number of airfoil tables in this file 
    9990000000.0     Table ID parameter (Reynolds number in millions).  For efficiency. make very large if only one table. 
    8.000000     Stall angle (deg) 
    0.0     No longer used, enter zero 
    0.0     No longer used, enter zero 
    0.0     No longer used, enter zero 
    -2.90878794935     Zero Cn angle of attack (deg) 
    6.04295793275     Cn slope for zero lift (dimensionless) 
    1.04507503434     Cn extrapolated to value at positive stall angle of attack 
    -0.72     Cn at stall value for negative angle of attack 
    -2.000000     Angle of attack for minimum CD (deg) 
    0.010300     Minimum CD value 
-180.000 -0.087185 0.228084 -0.048887
-179.000 -0.057579 0.224770 -0.038753
-178.000 -0.028825 0.221479 -0.031381
-177.000 0.003433 0.218910 -0.024319
-176.000 0.033450 0.216364 -0.011444
-175.000 0.065592 0.214453 0.000680
-174.000 0.094619 0.212465 0.015411
-173.000 0.127736 0.211124 0.034331
-172.000 0.163036 0.209717 0.045193
-171.000 0.197811 0.208760 0.056735
-170.000 0.240752 0.207924 0.067937
-169.000 0.252217 0.207361 0.078461
-168.000 0.272539 0.206909 0.087966
-167.000 0.289125 0.206741 0.095434
-166.000 0.298968 0.206509 0.103242
-165.000 0.311366 0.207144 0.110370
-164.000 0.312433 0.207916 0.115802
-163.000 0.316526 0.208920 0.122251
-162.000 0.318622 0.209980 0.128362
-161.000 0.323285 0.211184 0.133454
-160.000 0.324788 0.210929 0.138546
-159.000 0.331024 0.218407 0.143638
-158.000 0.333359 0.226177 0.148390
-157.000 0.340477 0.237453 0.152464
-156.000 0.345904 0.248922 0.156198
-155.000 0.357992 0.263346 0.159592
-150.000 0.402799 0.331931 0.172492
-145.000 0.434883 0.405537 0.186749
-140.000 0.439716 0.483664 0.198630
-135.000 0.423634 0.564007 0.208135
-130.000 0.397705 0.644271 0.218900
-125.000 0.365936 0.722382 0.226079
-120.000 0.330533 0.795725 0.231299
-115.000 0.289194 0.861891 0.237173
-110.000 0.241700 0.919215 0.239783
-105.000 0.185432 0.965730 0.241741
-100.000 0.120071 0.988681 0.238478
-95.000 0.047850 0.998052 0.231952
-90.000 -0.027756 0.999614 0.224774
-85.000 -0.103327 0.994928 0.213027
-80.000 -0.175486 0.980872 0.200628
-75.000 -0.241143 0.959827 0.184313
-70.000 -0.299560 0.919474 0.169956
-65.000 -0.349367 0.862085 0.155599
-60.000 -0.390094 0.795660 0.143852
-55.000 -0.419170 0.722039 0.132758
-50.000 -0.435398 0.644301 0.122969
-45.000 -0.432947 0.594052 0.113181
-40.000 -0.413505 0.543534 0.103392
-35.000 -0.393173 0.493361 0.091796
-30.000 -0.375789 0.443028 0.083395
-28.000 -0.380305 0.362227 0.079195
-26.000 -0.389117 0.320672 0.074501
-24.000 -0.404168 0.277253 0.068571
-22.000 -0.428455 0.224522 0.060170
-20.000 -0.442283 0.175716 0.051029
-18.000 -0.348921 0.164080 0.040157
