airfoil 
    Dummy header 
    1.0      Number of airfoil tables in this file 
    9990000000.0     Table ID parameter (Reynolds number in millions).  For efficiency. make very large if only one table. 
    8.000000     Stall angle (deg) 
    0.0     No longer used, enter zero 
    0.0     No longer used, enter zero 
    0.0     No longer used, enter zero 
    -2.90878794935     Zero Cn angle of attack (deg) 
    6.04295793275     Cn slope for zero lift (dimensionless) 
    1.04507503434     Cn extrapolated to value at positive stall angle of attack 
    -0.72     Cn at stall value for negative angle of attack 
    -2.000000     Angle of attack for minimum CD (deg) 
    0.010300     Minimum CD value 
-180.000 -0.140075 0.034468 -0.071150
-179.000 -0.096050 0.034044 -0.058436
-178.000 -0.051107 0.033195 -0.041536
-177.000 -0.006995 0.033620 -0.018789
-176.000 0.043775 0.034468 0.009147
-175.000 0.097873 0.035454 0.040276
-174.000 0.145310 0.036515 0.075086
-173.000 0.190233 0.038704 0.108358
-172.000 0.229292 0.048214 0.129840
-171.000 0.255813 0.052270 0.155103
-170.000 0.276819 0.058169 0.167491
-169.000 0.271994 0.067890 0.176575
-168.000 0.238430 0.081298 0.175474
-167.000 0.211754 0.094173 0.166389
-166.000 0.195067 0.107464 0.160482
-165.000 0.195506 0.120516 0.158030
-164.000 0.216513 0.140118 0.158253
-163.000 0.247028 0.156743 0.159590
-162.000 0.282502 0.172713 0.161151
-161.000 0.319906 0.188087 0.163380
-160.000 0.355609 0.202866 0.165163
-159.000 0.393771 0.217996 0.166724
-158.000 0.432900 0.232710 0.168173
-157.000 0.472881 0.247009 0.169733
-156.000 0.506733 0.260946 0.170959
-155.000 0.534395 0.274647 0.172966
-150.000 0.674052 0.351238 0.182703
-145.000 0.790136 0.448285 0.192150
-140.000 0.832120 0.546266 0.206319
-135.000 0.822546 0.648144 0.220489
-130.000 0.788697 0.751895 0.230880
-125.000 0.718488 0.853081 0.244105
-120.000 0.636426 0.955201 0.254496
-115.000 0.534917 1.039094 0.262998
-110.000 0.425468 1.117393 0.272444
-105.000 0.305583 1.167134 0.280946
-100.000 0.186827 1.212748 0.290393
-95.000 0.062752 1.226824 0.295410
-90.000 -0.061941 1.230670 0.297005
-85.000 -0.171985 1.224504 0.290393
-80.000 -0.270175 1.208984 0.275278
-75.000 -0.353580 1.166103 0.259219
-70.000 -0.422861 1.118477 0.240326
-65.000 -0.478627 1.045161 0.217655
-60.000 -0.532085 0.962201 0.182703
-55.000 -0.564238 0.897124 0.152475
-50.000 -0.572580 0.805111 0.114689
-45.000 -0.567529 0.726517 0.089184
-40.000 -0.569981 0.643014 0.074070
-35.000 -0.576721 0.589041 0.061789
-30.000 -0.586034 0.535843 0.050454
-28.000 -0.592888 0.461678 0.041952
-26.000 -0.599159 0.418967 0.033885
-24.000 -0.606069 0.345936 0.023488
-22.000 -0.614094 0.282218 0.010158
-20.000 -0.624725 0.230637 -0.006103
-18.000 -0.632922 0.196503 -0.023529
