airfoil 
    Dummy header 
    1.0      Number of airfoil tables in this file 
    9990000000.0     Table ID parameter (Reynolds number in millions).  For efficiency. make very large if only one table. 
    8.000000     Stall angle (deg) 
    0.0     No longer used, enter zero 
    0.0     No longer used, enter zero 
    0.0     No longer used, enter zero 
    -2.90878794935     Zero Cn angle of attack (deg) 
    6.04295793275     Cn slope for zero lift (dimensionless) 
    1.04507503434     Cn extrapolated to value at positive stall angle of attack 
    -0.72     Cn at stall value for negative angle of attack 
    -2.000000     Angle of attack for minimum CD (deg) 
    0.010300     Minimum CD value 
-180.000 -0.109969 0.038991 -0.062976
-179.000 -0.054270 0.039919 -0.051086
-178.000 0.014947 0.041202 -0.036326
-177.000 0.077324 0.042452 -0.016021
-176.000 0.133559 0.043965 0.008049
-175.000 0.189903 0.046915 0.029095
-174.000 0.241361 0.050834 0.051707
-173.000 0.271783 0.056909 0.071730
-172.000 0.284181 0.066562 0.089558
-171.000 0.266136 0.074458 0.105201
-170.000 0.249713 0.083632 0.114708
-169.000 0.231621 0.095717 0.109780
-168.000 0.217212 0.108549 0.101239
-167.000 0.219243 0.121155 0.102256
-166.000 0.235727 0.134287 0.104683
-165.000 0.260140 0.147705 0.108543
-164.000 0.285756 0.161793 0.112918
-163.000 0.310959 0.173198 0.116654
-162.000 0.351178 0.187287 0.120835
-161.000 0.388281 0.202718 0.125196
-160.000 0.422877 0.215465 0.126751
-159.000 0.460846 0.228883 0.130073
-158.000 0.498339 0.241629 0.132952
-157.000 0.534145 0.255047 0.136887
-156.000 0.569429 0.268465 0.142897
-155.000 0.610692 0.280541 0.146548
-150.000 0.780129 0.347996 0.169611
-145.000 0.829661 0.447309 0.188430
-140.000 0.806449 0.546409 0.205418
-135.000 0.754612 0.636998 0.219368
-130.000 0.692550 0.723773 0.231598
-125.000 0.617604 0.810549 0.244913
-120.000 0.537420 0.902863 0.254070
-115.000 0.449346 0.985946 0.266053
-110.000 0.359614 1.056105 0.273191
-105.000 0.262571 1.113340 0.279437
-100.000 0.159501 1.147291 0.284791
-95.000 0.058370 1.170815 0.290145
-90.000 -0.043624 1.167196 0.291929
-85.000 -0.144843 1.154529 0.287468
-80.000 -0.243852 1.134624 0.274084
-75.000 -0.337368 1.105672 0.255345
-70.000 -0.427634 1.056815 0.221368
-65.000 -0.485889 1.006149 0.192749
-60.000 -0.526703 0.951863 0.156325
-55.000 -0.545403 0.874054 0.115564
-50.000 -0.562566 0.794435 0.083514
-45.000 -0.567342 0.722054 0.060315
-40.000 -0.566991 0.651483 0.048211
-35.000 -0.561989 0.563881 0.039133
-30.000 -0.579016 0.501688 0.030055
-28.000 -0.580413 0.468518 0.024791
-26.000 -0.583820 0.428480 0.019029
-24.000 -0.589230 0.367044 0.012356
-22.000 -0.596199 0.308479 0.006289
-20.000 -0.603140 0.249910 -0.004023
-18.000 -0.609110 0.191340 -0.017066
