time,Value
0,-835.9690552
0.02,-829.0645752
0.04,-809.2952881
0.06,-780.0350342
0.08,-745.7756958
0.099999994,-708.0546875
0.12,-667.7756958
0.14,-627.3026733
0.16,-592.600708
0.17999999,-566.2519531
0.19999999,-548.4619751
0.22,-540.1514282
0.24,-541.6099243
0.26,-551.4994507
0.28,-566.717041
0.29999998,-580.5473633
0.32,-590.9725342
0.34,-599.9237671
0.35999998,-601.9525146
0.38,-592.074646
0.39999998,-569.1281738
0.42,-530.5946655
0.44,-478.2559509
0.45999998,-413.2035828
0.48,-328.6772766
0.5,-227.0482483
0.52,-124.4157028
0.53999996,-28.85691071
0.56,57.5647964477539
0.58,129.625076293945
0.59999996,185.351226806641
0.62,223.026519775391
0.64,242.874038696289
0.65999997,249.878616333008
0.68,249.005645751953
0.7,240.85578918457
0.71999997,226.103973388672
0.74,208.454391479492
0.76,192.824523925781
0.78,179.235321044922
0.79999995,165.274063110352
0.82,156.802185058594
0.84,159.676620483398
0.85999995,175.512603759766
0.88,202.156921386719
0.9,236.838989257813
0.91999996,281.332214355469
0.94,336.477569580078
0.96,399.812866210938
0.97999996,467.691833496094
1,536.239135742188
1.02,602.362243652344
1.04,665.875427246094
1.06,723.95263671875
1.0799999,773.274353027344
1.1,815.570922851563
1.12,847.500732421875
1.14,864.359924316406
1.16,864.193603515625
1.18,849.307983398438
1.1999999,826.359191894531
1.22,801.982482910156
1.24,777.035461425781
1.26,747.004821777344
1.28,708.967529296875
1.3,666.080932617188
1.3199999,622.259643554688
1.3399999,576.716369628906
1.36,531.234558105469
1.38,489.961242675781
1.4,454.684692382813
1.42,429.655151367188
1.4399999,421.247711181641
1.4599999,438.407836914063
1.48,484.009002685547
1.5,557.125732421875
1.52,650.958129882813
1.54,755.279113769531
1.56,870.501831054688
1.5799999,996.687194824219
1.5999999,1127.80261230469
1.62,1260.73815917969
1.64,1390.11169433594
1.66,1505.53552246094
1.68,1597.73950195313
1.6999999,1658.30700683594
1.7199999,1676.68420410156
1.74,1652.94274902344
1.76,1593.800781
1.78,1504.70190429688
1.8,1391.06530761719
1.8199999,1263.04760742188
1.8399999,1134.44030761719
1.86,1019.23608398438
1.88,927.057861328125
1.9,860.691650390625
1.92,816.887573242188
1.9399999,790.844299316406
1.9599999,779.47314453125
1.9799999,780.575439453125
2,792.640258789063
2.02,821.268615722656
2.04,875.170959472656
2.06,953.778564453125
2.08,1051.69506835938
2.1,1158.7529296875
2.12,1259.53857421875
2.1399999,1347.09606933594
2.1599998,1418.46313476563
2.18,1469.375
2.2,1500.92553710938
2.22,1517.40454101563
2.24,1519.78259277344
2.26,1514.382813
2.28,1509.45690917969
2.3,1508.00500488281
2.32,1509.19152832031
2.34,1509.21472167969
2.36,1497.59814453125
2.3799999,1462.49792480469
2.3999999,1403.08520507813
2.4199998,1329.26110839844
2.44,1255.35119628906
2.46,1197.16760253906
2.48,1161.07434082031
2.5,1142.91845703125
2.52,1139.039063
2.54,1148.94506835938
2.56,1170.74450683594
2.58,1198.52453613281
2.6,1226.78369140625
2.62,1253.01965332031
2.6399999,1276.49938964844
2.6599998,1296.41931152344
2.6799998,1313.06103515625
2.7,1328.9013671875
2.72,1349.31750488281
2.74,1374.46923828125
2.76,1390.73889160156
2.78,1385.02526855469
2.8,1355.5048828125
2.82,1310.4833984375
2.84,1262.29357910156
2.86,1216.76550292969
2.8799999,1175.28540039063
2.8999999,1144.36376953125
2.9199998,1133.425781
2.9399998,1141.69458007813
2.96,1163.51904296875
2.98,1200.79174804688
3,1256.20434570313
3.02,1327.18139648438
3.04,1404.64514160156
3.06,1479.68078613281
3.08,1550.4482421875
3.1,1618.75646972656
3.12,1682.17895507813
3.1399999,1731.1201171875
3.1599998,1757.8681640625
3.1799998,1761.98217773438
3.1999998,1743.785156
3.22,1701.61145019531
3.24,1636.71044921875
3.26,1554.94421386719
3.28,1463.167969
3.3,1364.58251953125
3.32,1257.73095703125
3.34,1142.07055664063
3.36,1024.42468261719
3.3799999,914.766967773438
3.3999999,818.950256347656
3.4199998,738.385986328125
3.4399998,674.585021972656
3.46,630.960266113281
3.48,607.648010253906
3.5,598.646728515625
3.52,597.556701660156
3.54,599.821899414063
3.56,605.853454589844
3.58,618.3515625
3.6,636.098571777344
3.62,659.557922363281
3.6399999,692.458374023438
3.6599998,735.147155761719
3.6799998,782.777648925781
3.6999998,827.383850097656
3.72,861.256591796875
3.74,879.846984863281
3.76,878.981201171875
3.78,854.849914550781
3.8,807.15576171875
3.82,748.53564453125
3.84,691.478637695313
3.86,641.892639160156
3.8799999,600.775329589844
3.8999999,569.025085449219
3.9199998,551.654235839844
3.9399998,551.2060547
3.9599998,554.205871582031
3.98,553.405822753906
4,556.232604980469
4.02,569.438598632813
4.04,595.014099121094
4.06,631.250122070313
4.08,681.707702636719
4.1,749.4082031
4.12,830.5566406
